,film_id,rank
0,tt1649418,10
1,tt9288046,6
2,tt18968540,9
3,tt11364112,3
4,tt0475784,10
5,tt10298810,3
6,tt12642764,8
7,tt8041270,5
8,tt10166602,10
9,tt13323566,7
10,tt14174940,3
11,tt1190634,10
12,tt19704638,8
13,tt13729648,5
14,tt13822738,7
15,tt14460684,7
16,tt12304420,9
17,tt13317478,9
18,tt5108870,2
19,tt13235822,7
20,tt15302054,7
21,tt15033192,6
22,tt18568732,7
23,tt15016440,8
24,tt2934286,7
25,tt13560186,5
26,tt7826376,10
27,tt18082212,4
28,tt18246842,4
29,tt14817272,1
30,tt11280716,4
31,tt11000902,9
32,tt15374070,6
33,tt16988436,10
34,tt1464335,5
35,tt11755740,7
36,tt15410190,4
37,tt16085592,3
38,tt15553956,8
39,tt11541872,7
40,tt14060094,4
41,tt5363918,10
42,tt14992922,9
43,tt8690918,8
44,tt6156584,8
45,tt13146488,10
46,tt15479704,6
47,tt13989030,4
48,tt0120667,2
49,tt14500082,2
50,tt8772296,10
51,tt11245972,5
52,tt9848626,3
53,tt13978306,6
54,tt13729220,10
55,tt14498996,10
56,tt14153686,10
57,tt13668894,10
58,tt7221388,10
59,tt15808044,10
60,tt8398600,10
61,tt15758116,10
62,tt10838180,1
63,tt8962124,7
64,tt15753666,10
65,tt10574236,5
66,tt13029044,5
67,tt8322592,10
68,tt10872600,10
69,tt11131464,5
70,tt15977708,10
71,tt5180504,10
72,tt7740496,10
73,tt11286314,10
74,tt3230854,10
75,tt10919290,10
76,tt0105958,7
77,tt0055614,8
78,tt15863594,7
79,tt6932244,10
80,tt11126994,10
81,tt10037034,4
82,tt13103340,2
83,tt13064634,10
84,tt13735930,8
85,tt13317582,8
86,tt10752004,10
87,tt8518136,10
88,tt8714904,10
89,tt7492014,9
90,tt12383460,4
91,tt15141632,7
92,tt12624928,10
93,tt15478708,9
94,tt10696784,8
95,tt15470160,6
96,tt14622682,3
97,tt10231312,10
98,tt9737326,5
99,tt13622146,10
100,tt13834006,7
101,tt3007572,10
102,tt8787772,10
103,tt10937180,3
104,tt10665338,4
105,tt9174558,10
106,tt8369840,5
107,tt13109952,8
108,tt7335184,10
109,tt4244994,8
110,tt1160419,2
111,tt13372944,6
112,tt2386826,10
113,tt13372794,7
114,tt8150814,4
115,tt13372992,7
116,tt0163465,8
117,tt7879820,6
118,tt15392100,8
119,tt10478054,10
120,tt13372884,8
121,tt12885272,6
122,tt13056008,10
123,tt7097896,3
124,tt10834220,10
125,tt11771006,3
126,tt9839146,10
127,tt10919420,10
128,tt11465278,10
129,tt14549558,5
130,tt11102190,10
131,tt9900092,10
132,tt7043012,7
133,tt1825683,10
134,tt1413492,8
135,tt4500922,6
136,tt7215444,7
137,tt5726086,7
138,tt2089664,7
139,tt1485796,10
140,tt3411444,4
141,tt2527336,10
142,tt1961175,4
143,tt1396484,10
144,tt1959563,8
145,tt4846232,8
146,tt5362988,10
147,tt5390504,10
148,tt2250912,8
149,tt3606752,9
150,tt2345759,4
151,tt0451279,10
152,tt4695012,8
153,tt1469304,4
154,tt1972591,6
155,tt1366338,8
156,tt4287320,4
157,tt4573516,8
158,tt3896198,7
159,tt3315342,10
160,tt4731136,7
161,tt4425200,10
162,tt3095734,7
163,tt0490215,8
164,tt2671706,8
165,tt1355644,8
166,tt4572514,10
167,tt2094766,3
168,tt3748528,8
169,tt3783958,10
170,tt3640424,8
171,tt4540710,9
172,tt3521164,7
173,tt1878870,10
174,tt1620935,3
175,tt4034228,10
176,tt2513074,10
177,tt2543164,10
178,tt4694594,8
179,tt2119532,10
180,tt3882074,9
181,tt3062096,2
182,tt5213534,9
183,tt1211837,9
