,film_id,rank
0,tt4209788,9
1,tt8784956,4
2,tt5606664,8
3,tt0081505,9
4,tt10293308,1
5,tt3089630,1
6,tt8745960,8
7,tt7476438,6
8,tt4392454,8
9,tt7262990,2
10,tt9026184,2
11,tt7975244,8
12,tt5829032,2
13,tt6751668,8
14,tt9134216,2
15,tt1386697,9
16,tt8623904,8
17,tt3612126,4
18,tt1053859,2
19,tt0433386,5
20,tt8361028,6
21,tt5774060,6
22,tt0391198,7
23,tt9252508,3
24,tt10039344,6
25,tt6394270,8
26,tt9354944,6
27,tt4916630,10
28,tt3552892,1
29,tt8712750,2
30,tt8425308,10
31,tt6107548,9
32,tt3704700,10
33,tt7958736,6
34,tt7473716,2
35,tt8244578,3
36,tt7315570,3
37,tt0388644,9
38,tt10091530,3
39,tt10326928,5
40,tt8510488,3
41,tt4729430,10
42,tt5962210,8
43,tt10060094,7
44,tt5097410,8
45,tt2584384,10
46,tt9097270,4
47,tt8946378,8
48,tt7979492,2
49,tt5913798,3
50,tt4687108,7
51,tt9419834,6
52,tt5294518,7
53,tt6105098,7
54,tt9257484,5
55,tt5033998,3
