,film_id,rank
0,tt0067309,5
1,tt12361974,7
2,tt10003008,6
3,tt8114980,3
4,tt7638348,9
5,tt11540272,6
6,tt6723592,6
7,tt8980602,8
8,tt5867314,9
9,tt9772374,8
10,tt8997082,3
11,tt5258550,6
12,tt12137964,8
13,tt2226162,8
14,tt6806766,5
15,tt9794630,7
16,tt11242218,10
17,tt7737786,8
18,tt8237272,9
19,tt13143964,9
20,tt11266868,5
21,tt5918982,5
22,tt10059518,7
23,tt7923220,7
24,tt12298506,8
25,tt10303430,8
26,tt12749596,7
27,tt8179024,4
28,tt12274228,9
29,tt11905962,7
30,tt9072352,6
31,tt6882604,5
32,tt10358198,9
33,tt8201852,5
34,tt5774060,5
35,tt8244784,8
36,tt1051906,10
37,tt8047590,4
