,film_id,rank
0,tt10919420,10
1,tt13676344,9
2,tt2373025,10
3,tt2076298,9
4,tt9700192,10
5,tt7074030,10
6,tt9695550,9
7,tt7286456,10
8,tt6243312,9
9,tt8890392,10
10,tt6243308,9
11,tt5229638,10
12,tt6027920,10
13,tt7508750,10
14,tt4154796,9
15,tt9526024,9
16,tt9788496,10
17,tt0110912,10
18,tt7508714,8
19,tt4633694,10
20,tt3076658,8
21,tt6741948,10
22,tt0052027,9
23,tt7852166,9
24,tt7852188,9
25,tt7852186,9
26,tt2193021,9
27,tt7508706,9
28,tt7224676,9
29,tt0361862,9
30,tt7852176,8
31,tt5348176,9
32,tt5979872,9
33,tt6987770,8
34,tt5710978,9
35,tt4093826,8
36,tt5497778,9
37,tt7844166,9
38,tt6499752,10
39,tt0120611,9
40,tt0399295,9
41,tt3741634,9
42,tt2473476,9
43,tt7063210,9
44,tt6493702,9
45,tt6788942,9
46,tt4154756,9
47,tt6644200,8
48,tt6493690,9
49,tt5577018,9
50,tt5577024,9
51,tt5538198,9
52,tt4351548,9
53,tt1464763,8
54,tt3521126,8
55,tt4477536,1
56,tt0758758,9
57,tt3655448,8
58,tt4283088,10
59,tt0133093,10
60,tt5074352,9
61,tt5775874,10
62,tt5775864,9
63,tt0314067,10
64,tt1758429,10
65,tt1972591,8
66,tt5584166,10
67,tt3315342,9
68,tt5607510,9
69,tt1211837,9
70,tt2301455,10
71,tt3783958,10
72,tt5700672,8
73,tt4832640,9
74,tt4283094,10
75,tt4283028,10
76,tt4283016,9
77,tt4077554,9
78,tt0086148,8
79,tt0328832,10
80,tt1233119,9
81,tt3592032,9
82,tt0481256,10
83,tt0318871,9
84,tt1882240,9
85,tt0856348,10
86,tt0405296,8
87,tt0790799,8
88,tt0159145,9
89,tt2578802,3
90,tt4862542,8
91,tt4862536,9
92,tt3983534,9
93,tt3230854,9
94,tt3983230,9
95,tt1411815,9
96,tt1202625,9
97,tt4652854,9
98,tt4089754,10
99,tt2379308,10
