,film_id,rank
0,tt8108186,1
1,tt5433138,5
2,tt6402468,10
3,tt9777666,10
4,tt11859872,10
5,tt4876134,10
6,tt0293429,10
7,tt9320226,1
8,tt8070042,10
9,tt1838556,10
10,tt7363104,10
11,tt9866708,10
12,tt8664988,10
13,tt8936646,10
14,tt2584384,1
15,tt7059844,1
16,tt0107144,10
17,tt2935510,1
18,tt8959820,1
19,tt9272568,1
20,tt3541524,7
21,tt7485048,10
22,tt7468616,10
23,tt6722030,10
24,tt10122038,10
25,tt6203302,1
26,tt6067752,10
27,tt1488606,10
28,tt5734576,10
29,tt6610158,10
30,tt7726074,10
31,tt5093026,10
32,tt6832388,9
33,tt3203528,10
34,tt5463162,10
35,tt8005338,10
36,tt4881806,10
37,tt6774786,1
38,tt5246700,8
39,tt6218358,10
40,tt5877882,10
41,tt6951892,10
42,tt3647784,1
43,tt6405208,10
44,tt7594378,10
45,tt7778560,1
46,tt2798920,5
47,tt5638642,10
48,tt6620238,10
49,tt1961175,10
50,tt2582498,9
51,tt6581440,10
52,tt4348012,10
53,tt3758172,10
54,tt5503688,10
55,tt1396484,5
56,tt5362988,10
57,tt5833186,10
58,tt5925772,10
59,tt1959563,10
60,tt1734493,10
61,tt2316204,1
62,tt5442430,10
63,tt3896738,10
64,tt5548032,10
65,tt2370228,8
66,tt4160708,10
67,tt3014866,10
68,tt2070862,10
69,tt5022702,10
70,tt1860213,10
71,tt1244658,10
72,tt1288558,10
73,tt1365050,10
74,tt2517658,10
75,tt1210819,10
76,tt1790885,4
77,tt0355506,10
