,film_id,rank
0,tt4550098,8
1,tt2180339,10
2,tt15347936,5
3,tt15347934,7
4,tt6110648,3
5,tt10590028,4
6,tt10590026,4
7,tt10590022,6
8,tt10558924,6
9,tt6704972,10
10,tt8515570,7
11,tt9770780,6
12,tt10558918,6
13,tt8515568,10
14,tt8515566,7
15,tt15347904,6
16,tt15347898,5
17,tt14348698,5
18,tt11044158,6
19,tt10989892,7
20,tt13759970,8
21,tt14441332,7
22,tt14441326,10
23,tt0866569,8
24,tt14348688,7
25,tt15332138,5
26,tt15332130,6
27,tt14441310,8
28,tt10989890,7
29,tt10989880,8
30,tt14348692,5
31,tt15332128,6
32,tt15332126,6
33,tt14348686,7
34,tt0866568,6
35,tt1122274,6
36,tt1122273,8
37,tt14441308,7
38,tt14441298,7
39,tt14441296,6
40,tt14596714,8
41,tt1122272,7
42,tt1122271,7
43,tt0866567,6
44,tt0859273,7
45,tt14441288,7
46,tt14441284,6
47,tt7049682,9
48,tt9209842,8
49,tt1122270,7
50,tt1036066,7
51,tt8865566,10
52,tt8515564,8
53,tt8515562,8
54,tt14348682,7
55,tt8515560,8
56,tt10558914,5
57,tt10563852,5
58,tt8515558,7
59,tt8515556,10
60,tt10451206,5
61,tt9243008,6
62,tt8515554,9
63,tt8515552,10
64,tt1631867,8
65,tt5117670,7
66,tt7126948,6
67,tt8332922,8
68,tt7541720,4
69,tt7069210,7
70,tt3272066,7
71,tt3215824,4
72,tt0092099,7
73,tt0859272,6
74,tt9111408,7
75,tt1036065,5
76,tt1036064,5
77,tt14441272,8
78,tt14441268,9
79,tt14441236,8
80,tt14441226,7
81,tt1036063,8
82,tt1036074,8
83,tt0836899,7
84,tt0823912,6
85,tt9111462,7
86,tt9106956,7
87,tt8495170,5
88,tt8495166,6
89,tt14441200,9
90,tt14441188,8
91,tt4142526,8
92,tt4120554,8
93,tt1036073,7
94,tt1036072,7
95,tt0824887,6
96,tt0828745,6
97,tt9106932,7
98,tt8862418,10
99,tt4120550,9
100,tt4120544,8
101,tt4120542,6
102,tt14436636,8
103,tt14436632,8
104,tt1036071,7
105,tt1036070,7
106,tt0757186,6
107,tt0785280,7
108,tt8862414,7
109,tt7401958,8
110,tt4995540,8
111,tt7959026,7
112,tt1247690,7
113,tt1355644,7
114,tt9777666,6
115,tt0422295,7
116,tt1837636,7
117,tt1703957,8
118,tt5592248,8
119,tt4120538,9
120,tt1036069,6
121,tt1036068,5
122,tt0997914,5
123,tt0967593,5
124,tt0948801,5
125,tt3811906,5
126,tt14128670,5
127,tt0248667,8
128,tt13429362,3
129,tt1981128,5
130,tt11080108,10
131,tt9827834,7
132,tt10243992,8
133,tt1987680,9
134,tt0499097,5
135,tt6436726,8
136,tt11327514,10
137,tt12971802,10
138,tt8236336,6
139,tt3108894,8
140,tt14817272,2
141,tt14992922,5
142,tt7897330,1
143,tt8740976,6
144,tt11210282,6
145,tt11210280,6
146,tt9562908,8
147,tt9562906,8
148,tt8518214,6
149,tt11210278,6
150,tt11210274,7
151,tt8518216,7
152,tt8518208,6
153,tt2201227,2
154,tt13439664,2
155,tt13439666,3
156,tt11210272,5
157,tt11210270,5
158,tt8518206,7
159,tt8518210,6
160,tt13439658,2
161,tt13439660,2
162,tt6816492,7
163,tt6851516,7
164,tt6851512,6
165,tt6851508,6
166,tt6851506,6
167,tt6851504,5
168,tt8518204,6
169,tt8518202,6
170,tt7372972,6
171,tt13439662,3
172,tt13439656,3
173,tt13315324,6
174,tt15301676,6
175,tt15301674,7
176,tt15301670,6
177,tt14489680,6
178,tt15301666,6
179,tt15046990,5
180,tt11210268,6
181,tt11210266,5
182,tt11210264,4
183,tt13439654,3
184,tt13439652,4
185,tt14518756,5
186,tt15294804,3
187,tt15294800,6
188,tt15294798,5
189,tt15294796,5
190,tt14169960,7
191,tt17493750,7
192,tt17493740,6
193,tt16371468,9
194,tt16267488,6
195,tt13334326,6
196,tt16317690,7
197,tt17320746,7
198,tt15359930,7
199,tt15294794,4
200,tt15294792,5
201,tt15294782,5
202,tt10574558,10
203,tt10576776,10
204,tt10576774,10
205,tt15294778,6
206,tt17493736,7
